TIER,VETERAN,WINS,REQUEST_REGION,INACTIVE,HOTSTREAK,QUEUE,LOSSES,FRESHBLOOD,SUMMONERNAME,LEAGUEPOINTS
MASTER,TRUE,220,oc1,FALSE,FALSE,RANKED_SOLO_5x5,221,FALSE,gl at mcdonalds,245
MASTER,FALSE,275,oc1,FALSE,TRUE,RANKED_SOLO_5x5,244,TRUE,000001 AD,33
MASTER,FALSE,261,oc1,FALSE,FALSE,RANKED_SOLO_5x5,206,FALSE,Fac,117
MASTER,FALSE,125,oc1,FALSE,FALSE,RANKED_SOLO_5x5,135,FALSE,USYD USYD USYD,104
MASTER,FALSE,184,oc1,FALSE,FALSE,RANKED_SOLO_5x5,125,FALSE,SuperLuckyHan,0
GRANDMASTER,FALSE,278,na1,FALSE,FALSE,RANKED_FLEX_SR,168,FALSE,Chòu Baby,335
GRANDMASTER,FALSE,75,na1,FALSE,FALSE,RANKED_FLEX_SR,34,FALSE,ur mom flay,391
GRANDMASTER,FALSE,251,na1,FALSE,FALSE,RANKED_FLEX_SR,193,FALSE,SouthMaple,215
GRANDMASTER,FALSE,154,na1,FALSE,FALSE,RANKED_FLEX_SR,77,TRUE,Le Jejuu,205
GRANDMASTER,FALSE,68,na1,FALSE,FALSE,RANKED_FLEX_SR,11,TRUE,BIGLELE,215
GRANDMASTER,FALSE,167,na1,FALSE,FALSE,RANKED_FLEX_SR,86,FALSE,Ma You Y3,523
GRANDMASTER,FALSE,169,na1,FALSE,FALSE,RANKED_FLEX_SR,108,TRUE,Le Gom,322
GRANDMASTER,FALSE,772,na1,FALSE,TRUE,RANKED_FLEX_SR,688,FALSE,Wo ài xiaogege,301
GRANDMASTER,FALSE,284,na1,FALSE,FALSE,RANKED_FLEX_SR,232,FALSE, Dragon cool 520,334
GRANDMASTER,FALSE,121,na1,FALSE,TRUE,RANKED_FLEX_SR,77,FALSE,theChosen Anivia,414
GRANDMASTER,FALSE,95,na1,FALSE,FALSE,RANKED_FLEX_SR,28,FALSE,Nima,275
GRANDMASTER,FALSE,120,na1,FALSE,FALSE,RANKED_FLEX_SR,61,FALSE,Corey Chase,357
GRANDMASTER,FALSE,133,na1,FALSE,FALSE,RANKED_FLEX_SR,42,FALSE,Supremé,525
MASTER,FALSE,369,na1,FALSE,TRUE,RANKED_SOLO_5x5,370,TRUE,Profession,1
MASTER,FALSE,64,na1,FALSE,FALSE,RANKED_SOLO_5x5,46,FALSE,mangguochaotian,110
MASTER,FALSE,321,na1,FALSE,FALSE,RANKED_SOLO_5x5,302,TRUE,Jome,17
MASTER,FALSE,619,na1,FALSE,TRUE,RANKED_SOLO_5x5,582,FALSE,Pholix X,331
MASTER,FALSE,330,na1,FALSE,FALSE,RANKED_SOLO_5x5,285,FALSE,TheGreatLumos,71
MASTER,FALSE,79,na1,FALSE,FALSE,RANKED_SOLO_5x5,66,TRUE,Curas Rose,78
MASTER,FALSE,104,na1,FALSE,FALSE,RANKED_SOLO_5x5,103,FALSE,im Ahj,123
MASTER,FALSE,323,na1,FALSE,FALSE,RANKED_SOLO_5x5,308,FALSE,Lacerashen,133
MASTER,FALSE,149,na1,FALSE,FALSE,RANKED_SOLO_5x5,104,FALSE,kiyume,95
MASTER,FALSE,67,na1,FALSE,FALSE,RANKED_SOLO_5x5,46,FALSE,Glory Tyler,86
MASTER,FALSE,112,na1,FALSE,FALSE,RANKED_SOLO_5x5,96,TRUE,FIick,15
MASTER,FALSE,139,na1,FALSE,TRUE,RANKED_SOLO_5x5,121,FALSE,ActualDeadChamp,175
MASTER,FALSE,471,na1,FALSE,FALSE,RANKED_SOLO_5x5,451,FALSE,ECD SniperLyfe,24
CHALLENGER,TRUE,636,oc1,FALSE,FALSE,RANKED_SOLO_5x5,587,FALSE,ggmggmggm,1055
CHALLENGER,FALSE,196,oc1,FALSE,FALSE,RANKED_SOLO_5x5,127,FALSE,GUAI BAO QAQ,840
CHALLENGER,TRUE,286,oc1,FALSE,FALSE,RANKED_SOLO_5x5,264,FALSE,glyz,973
CHALLENGER,FALSE,98,oc1,FALSE,FALSE,RANKED_SOLO_5x5,81,FALSE,The Wðrld,998
GRANDMASTER,FALSE,192,oc1,FALSE,FALSE,RANKED_SOLO_5x5,131,FALSE,URANecro,441
GRANDMASTER,FALSE,209,oc1,FALSE,TRUE,RANKED_SOLO_5x5,206,TRUE,kucldoog 9K,436
GRANDMASTER,TRUE,403,oc1,FALSE,FALSE,RANKED_SOLO_5x5,360,FALSE,SnsdAhri,724
GRANDMASTER,FALSE,273,oc1,FALSE,TRUE,RANKED_SOLO_5x5,236,FALSE,Ascanius,861
GRANDMASTER,TRUE,219,oc1,FALSE,TRUE,RANKED_SOLO_5x5,211,FALSE,special weap0n,592
GRANDMASTER,FALSE,280,oc1,FALSE,FALSE,RANKED_SOLO_5x5,259,FALSE,Chirp,559
GRANDMASTER,FALSE,252,oc1,FALSE,FALSE,RANKED_SOLO_5x5,206,FALSE,King Qin pw,403
GRANDMASTER,TRUE,740,oc1,FALSE,FALSE,RANKED_SOLO_5x5,703,FALSE,12inch,600
GRANDMASTER,TRUE,204,oc1,FALSE,TRUE,RANKED_SOLO_5x5,185,FALSE,Shinkii,703
MASTER,TRUE,162,oc1,FALSE,TRUE,RANKED_SOLO_5x5,176,FALSE,Kiitty,168
MASTER,FALSE,235,oc1,FALSE,FALSE,RANKED_SOLO_5x5,236,FALSE,lemonlord,0
MASTER,FALSE,217,oc1,FALSE,TRUE,RANKED_SOLO_5x5,160,TRUE,C9 Vienna,303
MASTER,TRUE,347,oc1,FALSE,FALSE,RANKED_SOLO_5x5,333,FALSE,Distortion,329
MASTER,FALSE,189,oc1,FALSE,FALSE,RANKED_SOLO_5x5,176,TRUE,XiaoLing Fanboy,308
